frame_idx,class,x1,y1,x2,y2,confidence
5000,player,998.2,494.1,1110.3,795.9,0.868
5000,player,488.5,509.4,557.6,660.5,0.686
5000,player,587.0,488.5,684.4,706.8,0.664
5000,player,1395.0,404.8,1445.0,609.6,0.646
5000,player,1198.0,379.1,1265.5,529.1,0.594
5000,player,800.6,420.0,868.9,577.2,0.588
5000,player,1473.8,382.1,1521.5,460.1,0.466
5000,player,859.7,312.6,901.8,429.4,0.448
5000,player,214.4,560.6,258.5,670.9,0.414
5000,player,1421.6,369.8,1460.3,431.7,0.35
5000,player,986.6,407.4,1021.7,484.4,0.346
5000,player,1395.9,403.5,1440.8,561.1,0.305
5000,player,670.0,439.5,704.6,512.5,0.275
5000,player,1420.9,369.3,1461.3,461.0,0.26
5000,player,1030.7,398.8,1071.7,477.3,0.252
5000,player,215.6,557.2,277.3,670.0,0.25
5000,player,1110.2,387.2,1143.3,461.6,0.248
5000,player,1041.1,398.6,1073.4,475.4,0.247
5000,player,333.6,496.5,379.1,592.8,0.229
5000,player,427.0,505.6,478.3,651.6,0.198
5000,player,854.6,312.3,911.9,454.5,0.174
5000,player,800.6,420.6,856.9,547.4,0.161
5000,player,1144.1,386.3,1179.6,471.1,0.141
5000,player,1411.7,405.1,1450.9,499.8,0.117
5000,player,1212.9,392.2,1261.2,530.7,0.107
5001,player,1004.1,492.2,1110.9,795.4,0.869
5001,player,488.1,505.8,557.4,658.6,0.739
5001,player,585.7,482.0,684.6,710.3,0.705
5001,player,1197.9,379.3,1265.6,528.8,0.604
5001,player,800.6,420.3,859.6,556.1,0.559
5001,player,859.9,312.7,901.9,428.7,0.516
5001,player,1474.3,382.3,1521.6,459.3,0.486
5001,player,1400.7,408.8,1444.9,542.4,0.453
5001,player,214.9,559.9,258.2,671.0,0.433
5001,player,432.6,508.5,484.0,647.1,0.428
5001,player,986.7,407.2,1021.7,485.1,0.412
5001,player,801.3,416.8,869.3,590.8,0.385
5001,player,1110.4,386.4,1143.4,464.4,0.311
5001,player,672.1,440.5,706.6,513.8,0.304
5001,player,1418.6,369.3,1462.0,428.0,0.275
5001,player,1029.9,398.9,1071.3,476.9,0.266
5001,player,1041.9,398.6,1073.3,475.2,0.262
5001,player,1400.6,403.9,1449.1,606.4,0.234
5001,player,405.7,494.5,438.6,579.6,0.213
5001,player,1142.7,384.4,1179.2,472.0,0.182
5001,player,335.5,500.2,379.8,595.4,0.164
5001,player,1420.1,368.5,1461.8,460.7,0.119
5001,player,1108.4,381.1,1159.8,472.5,0.111
5001,player,1401.4,417.2,1464.2,616.6,0.106
5001,player,1214.9,389.2,1261.1,529.0,0.1
5002,player,1010.8,489.3,1112.6,794.4,0.863
5002,player,583.6,487.0,686.9,710.6,0.722
5002,player,487.7,505.8,558.1,657.7,0.689
5002,player,1199.5,376.6,1266.1,528.8,0.663
5002,player,1399.5,399.5,1478.1,623.9,0.618
5002,player,799.1,417.6,867.5,579.2,0.56
5002,player,860.0,312.7,901.3,428.4,0.526
5002,player,215.2,568.6,255.1,670.8,0.488
5002,player,1474.6,382.4,1521.7,459.1,0.486
5002,player,986.5,407.1,1021.9,486.1,0.394
5002,player,1403.8,407.2,1460.2,617.9,0.373
5002,player,1110.5,386.6,1143.6,462.7,0.32
5002,player,1028.8,399.5,1070.6,475.4,0.265
5002,player,1042.3,398.7,1073.1,473.9,0.262
5002,player,1417.3,368.9,1463.6,429.6,0.225
5002,player,798.8,420.8,856.3,555.3,0.184
5002,player,855.3,312.4,911.1,436.2,0.182
5002,player,676.7,441.5,710.1,499.5,0.18
5002,player,1142.7,385.6,1179.7,471.4,0.176
