frame_idx,class,x1,y1,x2,y2,confidence
1,player,697.4,495.0,765.0,691.6,0.587
1,player,1136.7,461.6,1182.3,609.3,0.428
1,player,880.9,563.0,925.2,717.0,0.306
1,player,915.0,514.8,1000.2,760.9,0.176
1,player,1252.9,455.1,1305.3,584.4,0.139
2,player,1135.2,459.5,1183.0,611.9,0.781
2,player,696.1,494.1,761.8,690.7,0.675
2,player,922.4,513.6,1001.1,763.7,0.606
2,player,1025.9,268.7,1074.8,398.7,0.507
2,player,877.4,562.5,927.6,751.7,0.406
2,player,1460.9,514.6,1536.1,643.6,0.388
2,player,485.2,543.2,541.3,712.7,0.379
2,player,1250.0,444.6,1309.9,578.5,0.363
2,player,880.3,564.0,924.7,701.2,0.323
2,player,1252.9,446.1,1338.4,578.5,0.322
2,player,486.8,541.5,560.8,719.7,0.313
2,player,930.1,514.8,999.6,665.9,0.25
2,player,915.1,521.1,970.1,762.4,0.158
2,player,486.2,540.7,528.5,688.8,0.154
2,player,480.0,499.0,569.2,719.6,0.138
2,player,1248.7,513.4,1296.4,576.1,0.114
3,player,1133.0,459.1,1182.4,610.3,0.783
3,player,694.3,493.1,758.8,688.7,0.752
3,player,927.7,514.5,1000.2,759.0,0.572
3,player,486.1,542.9,541.2,713.4,0.5
3,player,1025.7,269.4,1073.7,400.1,0.461
3,player,877.4,564.0,929.6,736.7,0.455
3,player,928.2,517.1,998.8,667.2,0.364
3,player,486.0,537.8,563.6,717.9,0.312
3,player,1457.4,514.7,1537.2,642.2,0.283
3,player,1248.3,443.5,1337.7,582.1,0.279
3,player,486.8,541.2,530.2,687.0,0.236
3,player,1249.8,445.9,1337.0,522.3,0.196
3,player,1697.6,548.6,1762.5,672.6,0.187
3,player,1245.6,449.7,1310.5,577.7,0.175
3,player,1259.8,443.4,1319.7,522.2,0.13
3,player,1263.2,442.8,1306.3,511.2,0.12
3,player,880.4,562.4,950.5,743.9,0.119
4,player,1131.9,459.8,1182.4,611.4,0.782
4,player,696.2,493.2,757.7,691.2,0.781
4,player,486.5,542.7,539.8,714.1,0.549
4,player,927.2,517.2,999.9,759.1,0.536
4,player,1026.1,268.9,1073.3,403.3,0.434
4,player,877.0,564.3,929.3,736.3,0.424
4,player,1249.1,438.8,1324.4,582.9,0.361
4,player,879.9,563.5,925.6,696.9,0.357
4,player,926.3,522.2,996.3,668.3,0.342
4,player,486.3,539.1,562.8,719.6,0.307
4,player,487.0,541.5,530.9,685.6,0.298
4,player,1262.4,439.5,1318.8,518.3,0.218
4,player,1246.9,483.6,1311.2,578.6,0.183
4,player,1457.7,514.4,1537.7,640.4,0.183
4,player,1703.5,548.4,1763.1,658.3,0.158
4,player,1247.8,500.6,1298.8,580.6,0.144
4,player,1264.7,439.6,1308.3,509.6,0.122
4,player,945.0,572.6,999.9,762.6,0.109
5,player,1131.4,458.5,1184.4,610.9,0.818
5,player,688.1,492.2,757.1,689.1,0.746
5,player,485.9,542.4,542.2,714.0,0.592
5,player,924.7,518.7,997.9,756.6,0.554
5,player,877.5,562.2,929.0,736.4,0.498
5,player,1248.9,441.8,1323.8,582.3,0.447
5,player,925.0,525.5,993.2,680.0,0.366
5,player,1027.2,268.7,1073.0,394.1,0.341
5,player,1705.0,546.9,1763.9,658.3,0.257
5,player,657.5,492.4,757.6,689.4,0.249
