frame_idx,class,x1,y1,x2,y2,confidence
26700,ball,1905.8,723.4,1919.8,744.0,0.164
26701,ball,1906.3,725.2,1919.7,743.5,0.127
26702,ball,1908.5,727.3,1919.9,746.3,0.148
26717,ball,1208.6,513.9,1235.4,545.5,0.22
26717,ball,798.5,398.6,816.0,412.5,0.102
26718,ball,1207.9,513.4,1235.1,544.2,0.245
26719,ball,1204.6,512.5,1235.1,545.6,0.108
26724,ball,1195.7,509.7,1221.8,545.5,0.119
26725,ball,1092.1,496.3,1118.5,523.6,0.126
26740,ball,48.2,857.3,70.5,874.1,0.105
26741,ball,506.0,889.4,529.0,909.0,0.3
26741,ball,48.2,857.3,70.5,874.1,0.105
26742,ball,48.2,857.3,70.5,874.1,0.105
26743,ball,47.8,857.4,70.4,874.1,0.107
26744,ball,47.8,857.4,70.4,874.1,0.102
26745,ball,47.8,857.4,70.4,874.1,0.102
26746,ball,47.8,857.4,70.4,874.1,0.102
26750,ball,527.4,971.4,549.5,992.1,0.228
26751,ball,1047.9,497.2,1080.4,526.2,0.144
26752,ball,1048.5,496.2,1079.6,524.7,0.149
26786,ball,1143.9,500.9,1168.8,523.7,0.14
26787,ball,1140.2,499.3,1167.5,523.9,0.226
26788,ball,1139.5,498.2,1166.7,524.1,0.201
26796,ball,802.8,397.3,820.2,412.3,0.226
26815,ball,794.4,482.0,813.3,500.8,0.111
26822,ball,47.1,855.4,70.0,875.0,0.291
26823,ball,47.0,855.3,70.1,875.1,0.286
26824,ball,47.0,855.3,70.1,875.1,0.281
26825,ball,47.0,855.3,70.1,875.1,0.279
26826,ball,46.9,855.2,70.1,875.1,0.269
26827,ball,46.9,855.2,70.1,875.1,0.246
26828,ball,46.9,855.2,70.1,875.1,0.244
26829,ball,46.9,855.2,70.1,875.1,0.247
26830,ball,46.8,855.1,70.2,875.2,0.234
26831,ball,46.9,855.3,70.2,875.2,0.232
26832,ball,47.0,855.3,70.1,875.2,0.234
26833,ball,47.0,855.3,70.1,875.1,0.237
26833,ball,630.3,539.2,659.4,565.6,0.142
26834,ball,47.1,855.4,70.2,875.2,0.248
26834,ball,630.2,539.4,658.7,564.0,0.141
26835,ball,47.1,855.5,70.1,875.0,0.242
26835,ball,630.0,539.8,658.4,564.2,0.188
26836,ball,47.1,855.5,70.1,875.1,0.24
26837,ball,47.1,855.5,70.1,875.1,0.24
26838,ball,47.1,855.5,70.1,875.0,0.233
26839,ball,47.1,855.5,70.1,875.2,0.26
26840,ball,47.1,855.4,70.1,875.2,0.258
26841,ball,47.0,855.4,70.1,875.2,0.254
26842,ball,47.1,855.3,70.1,875.2,0.277
26843,ball,47.1,855.5,70.1,875.3,0.255
26844,ball,47.1,855.4,70.2,875.3,0.253
26845,ball,47.1,855.5,70.1,875.2,0.265
26846,ball,47.1,855.5,70.2,875.3,0.259
26847,ball,47.2,855.5,70.3,875.2,0.264
26848,ball,47.2,855.4,70.3,875.2,0.262
26848,ball,657.9,529.1,677.5,548.9,0.113
26849,ball,47.1,855.4,70.3,875.3,0.254
26849,ball,656.3,529.3,676.3,548.5,0.139
26850,ball,46.9,856.0,70.7,874.4,0.285
26858,ball,1088.3,481.3,1106.5,502.2,0.151
26865,ball,1528.6,757.3,1558.6,781.5,0.177
26866,ball,1529.3,755.1,1559.7,778.8,0.105
26868,ball,1530.3,752.2,1560.5,774.6,0.232
26869,ball,1530.6,750.1,1560.9,773.6,0.161
26914,ball,1848.5,575.2,1876.5,596.0,0.263
26914,ball,48.4,856.0,71.4,873.9,0.101
26915,ball,1809.0,561.7,1843.8,591.0,0.682
26915,ball,48.4,856.0,71.4,873.9,0.103
26916,ball,1767.3,554.0,1803.3,585.7,0.722
26916,ball,48.3,856.0,71.4,873.9,0.104
26917,ball,1724.2,540.4,1764.7,579.0,0.794
26917,ball,48.2,855.9,71.1,874.0,0.135
26918,ball,1676.5,536.2,1713.9,577.1,0.727
26918,ball,48.4,856.0,71.3,874.0,0.118
26919,ball,1620.9,524.1,1659.4,563.4,0.734
26919,ball,48.4,856.0,71.3,874.0,0.119
26920,ball,1561.8,517.7,1603.2,560.6,0.763
26920,ball,48.4,856.0,71.3,874.0,0.121
26921,ball,48.7,856.3,71.4,873.8,0.112
26922,ball,1430.9,505.3,1476.9,552.1,0.745
26922,ball,48.6,856.1,71.4,873.8,0.117
26923,ball,1361.8,502.8,1413.1,553.1,0.759
26923,ball,48.6,856.1,71.4,873.8,0.115
26924,ball,1293.0,500.1,1339.8,545.2,0.232
26924,ball,48.6,856.1,71.4,873.8,0.11
26925,ball,48.5,855.9,71.4,873.8,0.121
26926,ball,1148.9,502.7,1190.7,548.2,0.729
26926,ball,48.1,856.0,71.1,873.9,0.123
26927,ball,1089.9,505.6,1123.9,545.1,0.303
26927,ball,48.1,856.0,71.1,873.9,0.114
26929,ball,938.2,516.1,983.2,557.7,0.784
26930,ball,874.8,522.3,919.5,569.4,0.796
26932,ball,757.5,543.5,792.7,584.2,0.568
26933,ball,709.6,556.8,749.0,592.3,0.738
26934,ball,664.9,573.5,694.4,601.7,0.615
26935,ball,619.5,584.8,652.0,615.2,0.675
26936,ball,579.5,596.3,614.5,628.4,0.771
26936,ball,1563.9,550.6,1593.6,580.9,0.199
26937,ball,546.5,607.4,581.7,640.6,0.673
26940,ball,778.5,431.1,797.7,445.5,0.114
26943,ball,412.1,650.2,438.6,675.8,0.109
26944,ball,414.9,632.8,445.5,659.9,0.666
26945,ball,418.3,614.7,449.6,643.8,0.625
26946,ball,422.4,593.1,454.2,627.8,0.714
26947,ball,427.6,581.5,457.1,609.9,0.664
26949,ball,1756.5,733.9,1776.4,750.1,0.101
26953,ball,474.9,498.5,500.4,530.3,0.143
26954,ball,475.3,484.1,506.2,518.7,0.123
