frame_idx,class,x1,y1,x2,y2,confidence
26700,player,510.9,835.2,706.7,1076.6,0.809
26700,player,291.6,613.2,384.4,777.2,0.713
26700,player,518.3,434.4,585.5,574.1,0.652
26700,player,953.3,407.6,1006.0,518.0,0.585
26700,player,802.8,402.4,861.6,539.5,0.554
26700,player,1156.1,434.6,1203.2,568.3,0.541
26700,player,1513.5,705.6,1633.8,911.8,0.531
26700,player,387.9,498.0,439.0,653.4,0.434
26700,player,451.8,908.2,598.2,1080.0,0.417
26700,player,1022.0,279.8,1066.0,413.8,0.385
26700,player,1744.7,950.2,1864.2,1080.0,0.355
26700,player,1020.3,399.6,1048.6,516.8,0.303
26700,player,1103.3,521.6,1153.6,652.2,0.261
26700,player,499.2,845.4,557.9,984.2,0.204
26700,player,929.4,983.1,975.0,1080.0,0.193
26700,player,810.4,404.9,862.7,476.0,0.172
26700,player,1160.1,433.4,1202.1,536.5,0.161
26700,player,1078.6,522.1,1150.5,682.8,0.148
26700,player,386.2,897.8,599.2,1080.0,0.146
26700,player,1097.4,520.6,1152.7,613.7,0.138
26700,player,22.8,433.5,58.8,505.3,0.133
26700,player,385.8,496.7,467.4,654.4,0.114
26700,player,1341.6,586.9,1425.3,776.8,0.106
26700,ball,1610.1,607.3,1639.6,629.2,0.216
26701,player,507.6,840.2,706.8,1076.4,0.829
26701,player,295.9,608.8,387.1,779.4,0.705
26701,player,518.3,434.9,584.6,573.5,0.635
26701,player,800.7,400.0,862.0,536.8,0.625
26701,player,952.6,403.8,1010.2,516.0,0.589
26701,player,1513.6,705.6,1633.9,911.1,0.492
26701,player,458.0,917.1,599.2,1080.0,0.487
26701,player,1154.5,435.7,1201.1,568.6,0.413
26701,player,1022.0,279.7,1065.9,412.8,0.402
26701,player,1020.0,401.0,1054.6,516.2,0.32
26701,player,385.4,497.0,438.5,654.7,0.266
26701,player,1744.6,949.7,1863.9,1079.8,0.241
26701,player,385.4,497.6,432.3,619.5,0.203
26701,player,929.5,983.1,974.9,1080.0,0.19
26701,player,803.1,403.5,862.7,488.9,0.188
26701,player,1023.7,398.1,1048.8,513.9,0.183
26701,player,415.5,899.5,599.4,1080.0,0.178
26701,player,343.3,884.0,566.7,1080.0,0.162
26701,player,1348.0,587.5,1420.7,777.1,0.152
26701,player,502.2,851.8,560.9,991.6,0.151
26701,player,1157.5,438.1,1200.4,527.0,0.135
26701,player,957.7,410.6,997.9,516.4,0.133
26701,player,22.8,433.6,59.1,505.6,0.129
26701,player,392.3,498.4,427.3,604.0,0.126
26701,player,462.0,925.1,557.9,1066.0,0.101
26701,ball,1610.0,607.3,1639.6,629.3,0.222
26702,player,503.5,841.9,708.1,1075.9,0.847
26702,player,296.1,613.4,384.9,774.9,0.71
26702,player,518.0,435.2,584.1,573.4,0.645
26702,player,1153.4,434.9,1198.9,569.9,0.636
26702,player,953.3,404.6,1006.2,517.8,0.601
26702,player,1511.6,705.6,1634.1,911.9,0.497
26702,player,799.2,407.0,861.1,538.7,0.465
26702,player,460.8,915.9,600.7,1080.0,0.433
26702,player,1022.0,279.8,1066.0,412.9,0.416
26702,player,1019.8,398.7,1049.1,516.4,0.35
26702,player,1744.1,947.8,1863.2,1080.0,0.319
26702,player,390.6,497.4,449.7,653.8,0.255
26702,player,388.4,497.6,433.6,612.0,0.183
26702,player,343.3,884.4,556.6,1080.0,0.167
26702,player,394.9,498.4,429.0,604.3,0.164
26702,player,929.7,983.4,975.3,1080.0,0.13
26702,player,23.3,433.1,58.6,505.2,0.124
26702,player,385.1,496.4,467.3,657.3,0.115
26702,player,1341.3,586.4,1418.8,769.8,0.114
26702,player,365.0,894.9,601.1,1080.0,0.105
26702,player,1087.8,520.9,1151.0,664.0,0.104
26702,ball,1609.8,607.3,1639.1,629.4,0.264
26703,player,504.4,841.3,708.4,1075.5,0.835
26703,player,298.5,611.5,382.7,775.7,0.748
26703,player,517.9,437.1,583.7,573.7,0.653
26703,player,953.3,404.2,1006.2,518.0,0.61
26703,player,800.1,402.7,859.9,539.3,0.583
26703,player,1511.7,705.6,1634.1,911.7,0.501
26703,player,1153.1,436.1,1198.3,572.2,0.462
26703,player,462.0,923.1,598.8,1080.0,0.458
26703,player,1744.0,947.1,1862.4,1080.0,0.434
26703,player,1021.7,279.7,1066.1,414.4,0.407
26703,player,1019.8,398.2,1048.9,516.3,0.369
26703,player,394.5,497.2,443.8,654.0,0.315
