frame_idx,class,x1,y1,x2,y2,confidence
0,player,374.9,495.4,430.9,665.1,0.794
0,player,31.5,328.7,77.3,426.3,0.711
0,player,366.6,394.0,406.5,515.7,0.693
0,player,209.2,406.9,248.3,552.3,0.637
0,player,643.1,384.0,692.1,491.6,0.572
0,player,637.7,313.0,660.7,403.5,0.486
0,player,600.1,351.3,628.8,423.4,0.479
0,player,1133.8,332.5,1173.8,414.6,0.451
0,player,478.9,348.2,524.6,477.8,0.437
0,player,535.2,358.7,567.4,487.9,0.434
0,player,427.7,509.5,454.9,615.8,0.4
0,player,1053.0,320.6,1076.6,365.6,0.254
0,ball,1121.9,336.3,1141.5,356.1,0.669
0,ball,1116.0,331.9,1138.5,353.5,0.378
1,player,374.6,495.2,430.8,664.3,0.794
1,player,31.0,328.1,77.5,427.0,0.733
1,player,366.0,394.3,407.0,512.5,0.696
1,player,207.3,407.3,244.5,553.6,0.59
1,player,652.0,383.2,694.7,489.1,0.512
1,player,636.7,317.0,660.2,404.0,0.498
1,player,598.4,350.9,626.6,425.6,0.454
1,player,426.4,507.2,453.7,614.0,0.392
1,player,1134.6,339.3,1176.2,414.0,0.39
1,player,478.8,347.4,523.7,478.0,0.364
1,player,595.6,349.9,628.6,451.3,0.356
1,player,535.1,358.3,566.9,488.5,0.354
1,player,656.4,383.4,689.4,462.9,0.338
1,player,534.9,360.7,565.3,455.1,0.327
1,ball,1122.4,336.7,1141.3,355.9,0.512
1,ball,1115.8,330.1,1137.6,352.1,0.278
2,player,372.3,495.4,431.7,664.1,0.79
2,player,29.2,329.6,78.0,426.4,0.765
2,player,368.8,394.6,404.7,513.3,0.672
2,player,206.0,404.8,241.7,553.1,0.632
2,player,651.5,382.6,695.9,490.4,0.621
2,player,589.6,351.2,627.0,457.0,0.495
2,player,636.6,316.6,659.3,404.3,0.474
2,player,659.2,383.3,691.7,467.2,0.421
2,player,426.8,508.5,454.5,615.0,0.391
2,player,533.2,359.5,568.1,488.1,0.323
2,player,478.3,345.1,523.9,478.6,0.322
2,player,532.8,360.7,566.0,457.0,0.283
2,ball,1123.1,335.8,1142.6,355.3,0.392
3,player,372.5,495.3,431.1,664.0,0.789
3,player,203.3,405.4,236.2,541.2,0.75
3,player,28.9,329.2,78.2,426.5,0.744
3,player,367.1,393.7,403.3,512.4,0.671
3,player,661.9,382.9,695.0,487.8,0.6
3,player,587.2,352.2,621.4,455.4,0.478
3,player,663.1,382.7,693.6,461.6,0.458
3,player,633.7,311.3,659.6,404.6,0.396
3,player,426.9,508.9,454.2,614.8,0.391
3,player,478.0,345.2,523.8,478.7,0.317
3,player,533.2,360.8,567.5,489.3,0.283
3,ball,1124.0,336.2,1145.2,356.3,0.432
4,player,374.3,495.0,430.2,663.7,0.814
4,player,28.6,330.2,78.0,426.9,0.795
4,player,200.4,406.5,232.9,537.7,0.758
4,player,655.4,380.5,697.6,487.9,0.688
4,player,367.2,392.9,402.2,513.3,0.662
4,player,586.6,349.3,618.4,454.9,0.471
4,player,426.8,505.2,454.0,614.5,0.393
4,player,477.0,346.7,525.4,483.6,0.372
4,player,632.6,307.8,658.4,402.3,0.368
4,player,531.6,360.7,565.9,489.4,0.334
4,player,1138.9,338.8,1173.9,402.9,0.257
4,ball,1125.3,335.4,1147.8,356.3,0.478
4,ball,1118.0,329.9,1141.6,351.7,0.267
5,player,27.9,329.7,77.4,426.6,0.819
5,player,374.0,495.6,430.0,663.7,0.812
5,player,660.1,380.1,698.4,486.6,0.736
5,player,366.3,392.6,400.9,514.0,0.659
5,player,197.8,405.9,232.0,547.7,0.659
5,player,188.6,406.7,236.0,557.6,0.567
5,player,583.3,346.9,616.1,457.1,0.495
5,player,426.7,503.8,453.8,614.1,0.364
5,player,631.7,309.3,657.5,402.4,0.357
5,player,476.5,347.6,526.2,483.7,0.348
5,player,531.4,359.1,564.5,488.1,0.302
5,player,474.7,348.2,512.6,481.0,0.253
5,ball,1125.2,335.0,1148.5,356.8,0.53
5,ball,1117.5,329.5,1142.3,352.3,0.273
6,player,27.9,329.7,77.4,426.6,0.819
6,player,374.0,495.6,430.0,663.6,0.812
6,player,660.1,380.1,698.4,486.6,0.735
6,player,366.3,392.6,400.9,514.0,0.659
6,player,197.8,406.0,232.0,547.7,0.657
6,player,188.4,406.7,236.1,557.9,0.566
6,player,583.3,346.8,616.1,457.1,0.495
6,player,426.8,504.0,453.8,614.1,0.366
6,player,631.7,309.3,657.5,402.2,0.35
6,player,476.5,347.5,526.2,483.7,0.344
6,player,531.4,359.2,564.5,488.0,0.303
6,player,474.7,348.2,512.5,481.0,0.257
6,ball,1125.2,335.0,1148.5,356.8,0.531
6,ball,1117.6,329.6,1142.3,352.3,0.271
7,player,373.3,495.0,430.0,663.0,0.817
7,player,26.8,328.5,77.7,426.4,0.793
7,player,363.9,391.9,399.0,514.8,0.661
7,player,185.5,406.5,236.5,558.9,0.643
7,player,192.9,404.8,230.6,549.7,0.626
7,player,667.0,379.7,698.9,484.2,0.562
7,player,578.1,347.5,615.3,458.1,0.533
7,player,426.7,499.9,453.2,613.8,0.382
7,player,535.9,361.4,561.8,484.7,0.374
7,player,474.7,345.0,514.5,482.3,0.346
7,ball,1127.3,336.2,1147.9,355.1,0.517
8,player,372.6,495.2,429.9,661.6,0.823
8,player,26.3,327.0,76.6,425.7,0.776
8,player,362.8,392.2,399.5,514.3,0.674
8,player,189.7,405.4,231.1,544.9,0.639
8,player,671.4,378.3,700.2,483.0,0.523
8,player,580.8,348.5,614.0,460.4,0.382
8,player,534.4,362.0,561.0,488.0,0.354
8,player,426.8,499.2,452.6,612.5,0.345
8,player,629.5,324.0,655.3,402.2,0.28
8,player,1135.0,339.9,1179.2,412.4,0.268
8,player,1244.9,648.5,1279.5,718.8,0.263
8,player,475.6,349.3,523.6,481.7,0.252
8,ball,1129.1,336.2,1148.9,354.3,0.529
9,player,372.9,495.1,429.9,661.1,0.82
9,player,25.0,328.1,76.3,424.5,0.772
9,player,183.6,407.9,236.8,552.8,0.72
9,player,361.0,392.2,399.3,514.5,0.691
9,player,673.3,378.9,703.5,488.9,0.609
9,player,579.5,351.5,612.4,460.1,0.36
9,player,628.1,317.0,656.0,401.2,0.348
9,player,426.6,501.4,452.6,611.9,0.334
9,player,535.3,362.3,559.0,483.5,0.332
9,ball,1129.8,336.4,1149.5,354.2,0.571
10,player,373.2,494.8,429.8,659.5,0.794
10,player,22.2,330.3,76.1,426.2,0.774
10,player,358.7,391.6,397.5,514.2,0.726
10,player,183.4,407.8,236.3,550.5,0.694
